Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2875,Aleatorio,100,60,0.6,3,03 - 15 - 31 - 32 - 37 - 40,06 - 15 - 31 - 38 - 40 - 49,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
2876,Motor Elite 7,100,59,0.59,3,02 - 17 - 31 - 32 - 53 - 55,09 - 31 - 32 - 40 - 45 - 55,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2876,Aleatorio,100,52,0.52,3,31 - 32 - 50 - 51 - 55 - 56,09 - 31 - 32 - 40 - 45 - 55,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2877,Motor Elite 7,100,56,0.56,3,05 - 15 - 33 - 53 - 54 - 56,03 - 05 - 15 - 37 - 54 - 57,3,3.0,1,1.0,0,0.0,0,0.0,0,0.0
2877,Aleatorio,100,64,0.64,3,03 - 05 - 15 - 28 - 47 - 53,03 - 05 - 15 - 37 - 54 - 57,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2878,Motor Elite 7,100,77,0.77,3,15 - 18 - 38 - 47 - 51 - 56,15 - 16 - 43 - 46 - 47 - 51,19,19.0,1,1.0,0,0.0,0,0.0,0,0.0
2878,Aleatorio,100,64,0.64,3,05 - 16 - 33 - 45 - 46 - 51,15 - 16 - 43 - 46 - 47 - 51,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
2879,Motor Elite 7,100,59,0.59,3,04 - 11 - 30 - 45 - 47 - 52,11 - 20 - 29 - 47 - 52 - 56,6,6.0,5,5.0,0,0.0,0,0.0,0,0.0
2879,Aleatorio,100,62,0.62,2,09 - 20 - 21 - 29 - 36 - 43,11 - 20 - 29 - 47 - 52 - 56,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2880,Motor Elite 7,100,62,0.62,2,09 - 10 - 15 - 34 - 52 - 53,08 - 14 - 15 - 33 - 34 - 54,12,12.0,0,0.0,0,0.0,0,0.0,0,0.0
